StudentID,Name,Gender,Department,Age,StudyHours,Attendance,Math,Physics,Programming,Average,Result,Grade
1001,Rahim,M,CSE,20,15,92,88,84,95,89.0,Pass,A
1002,Karim,M,MATH,21,10,85,75,70,78,74.33,Pass,B
1003,Anika,F,CSE,19,18,98,95,92,99,95.33,Pass,A
1004,Sadia,F,EEE,22,8,75,68,65,72,68.33,Pass,C
1005,Nusrat,F,MATH,21,12,88,82,80,85,82.33,Pass,A
1006,Jamal,M,BBA,23,6,70,60,58,62,60.0,Pass,C
1007,Rafi,M,CSE,21,20,95,91,89,98,92.67,Pass,A
1008,Tania,F,MATH,21,14,90,86,82,90,86.0,Pass,A
1009,Mim,Unknown,EEE,22,12,72,70,68,74,70.67,Pass,B
1010,Rasel,M,BBA,21,7,68,65,61,69,65.0,Pass,C
1011,Nabila,F,CSE,19,16,96,93,90,97,93.33,Pass,A
1012,Arif,M,MATH,21,11,86,78,76,81,78.33,Pass,B
1013,Sohan,M,EEE,23,13,81,74,72,76,74.0,Pass,B
1014,Lamia,F,BBA,22,8,73,80,66,71,72.33,Pass,B
1015,Fahim,M,CSE,20,19,99,97,95,100,97.33,Pass,A
1017,Unknown_1017,Unknown,BIO,18,12,86,80,73,88,80.33,Pass,A
1018,Unknown_1018,F,MATH,21,12,86,80,50,82,70.67,Pass,B
1019,John,M,CSE,20,12,84,85,73,79,79.0,Pass,B
1020,Sara,F,Unknown,21,10,91,79,73,82,78.0,Pass,B
