StudentID,Name,Gender,Department,Age,StudyHours,Attendance,Math,Physics,Programming,Average
1001,Rahim,M,CSE,20,15,92,88,84,95,
1002,Karim,M,Math,21,10,85,75,70,78,
1003,Anika,F,CSE,19,18,98,95,92,99,
1004,Sadia,F,EEE,22,8,75,68,65,72,
1005,Nusrat,F,Math,,12,88,82,80,85,
1006,Jamal,M,BBA,23,6,70,60,58,62,
1007,Rafi,M,CSE,21,20,95,91,89,98,
1008,Tania,F,Math,-1,14,90,86,82,90,
1009,Mim,X,EEE,22,,72,70,68,74,
1010,Rasel,M,BBA,150,7,68,65,61,69,
1011,Nabila,F,CSE,19,16,96,93,90,97,
1012,Arif,M,Math,21,11,,78,76,81,
1013,Sohan,M,EEE,23,13,81,74,72,76,
1014,Lamia,F,BBA,22,8,73,,66,71,
1015,Fahim,M,CSE,20,19,99,97,95,100,
1015,Fahim,M,CSE,20,19,99,97,95,100,
1017,,,BIO,18,40,105,110,,88,
1018,,F,Math,,-2,-5,-10,50,,
1019,John123,Male,CSE,20,12,84,85,73,79,
1020,Sara,F,,21,10,91,79,Absent,82,
